path,label
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.0.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.1.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.2.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.3.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.4.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.5.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.6.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.7.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.8.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.9.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.10.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.11.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.12.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.13.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.14.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.15.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.16.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.17.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.18.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.19.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.20.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.21.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.22.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.23.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.24.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.25.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.26.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.27.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.28.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.29.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.30.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.31.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.32.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.33.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.34.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.35.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.36.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.37.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.38.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.39.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.40.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.41.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.42.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.43.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.44.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.45.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.46.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.47.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.48.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.49.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.50.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.51.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.52.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.53.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.54.jpg,1
img_aug/Helvetica/Helvetica-NUMBER_1_aug0.55.jpg,1
